flag,category,target,n_configs_on,perm_importance,effect_pct,ci_lo_pct,ci_hi_pct,significant
-O1,O,runtime,93,0.5456749373078073,8.220255115908692,6.441158577205153,9.99835779373559,True
-O2,O,runtime,87,0.002761726940650724,0.12603269469948497,-2.5648923937117374,2.866789842375672,False
-O3,O,runtime,75,0.0010314375582331065,-2.364835495698181,-5.341287021127872,0.6558437404712292,False
-Os,O,runtime,87,0.007752992850219872,-6.02268438928445,-8.891935192715428,-3.0878679982479063,True
-flto,flto,runtime,36,0.6705785372436217,-15.546797250299516,-18.93019946093385,-11.597921655488951,True
-flto=full,flto,runtime,39,0.5766377793594071,-11.151307501369988,-15.07888757771293,-6.8478625285677825,True
-flto=thin,flto,runtime,25,0.04961611397119677,-1.9892487523183844,-3.3344503068044262,-0.6310705041052911,True
-flto=auto,flto,runtime,33,0.5073771062205497,-9.73844394419161,-14.103678993528835,-5.006813921241715,True
-march=native,arch,runtime,66,0.0012036247987674198,1.9005686836619518,-0.9970390631904413,4.5607713515853465,False
-mtune=native,arch,runtime,80,-0.0008673767414341404,-0.5740797814572152,-3.393102941449344,2.355890810700445,False
-mprefer-vector-width=128,vec_width,runtime,39,0.0006011324356763688,1.3100329233780572,-2.0925026519105105,4.432470152182244,False
-mprefer-vector-width=256,vec_width,runtime,39,-0.001023373981379121,1.7120110077754491,-2.3316106373350243,5.15017619972713,False
-mprefer-vector-width=none,vec_width,runtime,53,0.0005464634120844354,-1.4333580603234308,-5.002264401714629,1.8296755449037416,False
-mrecip,recip,runtime,86,-0.0005005081155461456,0.31035456376011794,-2.4416477110102974,3.0229017104592915,False
-mrecip=all,recip,runtime,58,-0.00043056122068719555,0.17883752007059606,-3.10066699816427,3.3401163474434226,False
"-malign-branch=fused,jcc",branch_align,runtime,77,-0.00041516572222815245,-0.2908753505400985,-3.3343870298861433,2.6566334914902123,False
-malign-branch-boundary=32,branch_align,runtime,57,-0.0007088522708646964,-1.3972888162340658,-4.8256422366219525,1.9095060051759205,False
-finline-functions,inline,runtime,48,-3.135890266763233e-05,-1.008052760871725,-4.687555325938142,2.6024484572548356,False
-finline-hint-functions,inline,runtime,35,0.16092419641472241,8.759815241420622,7.280029426279722,10.284105950491185,True
-finline-max-stacksize=512,inline,runtime,34,6.565626016322561e-05,-0.5552602822690544,-4.759355924877995,3.4858946216726805,False
-fvectorize,vectorize,runtime,38,6.0291588239608596e-05,-0.19273950991511857,-3.9766852937154096,3.4945465671233578,False
-fslp-vectorize,vectorize,runtime,45,0.006691434389696019,1.4879272330824422,-1.9409805598551544,4.627870112739241,False
-fno-vectorize,vectorize,runtime,54,-0.002357904850948218,-1.1605430665441618,-4.753236493170432,2.389911458396421,False
-funroll-loops,unroll,runtime,63,-9.249560837525745e-05,0.36145412210684125,-2.725982086817025,3.4402436883949727,False
-fno-unroll-loops,unroll,runtime,79,0.004534791964306613,-1.342557338606687,-4.4139504080364045,1.6335113709472715,False
-ffunction-sections,sections,runtime,37,-0.00024578368966394684,-1.821717495069075,-6.046320015425644,2.329140723252876,False
-fdata-sections,sections,runtime,41,0.0004978639510816526,-1.2340531353678186,-5.343684671507187,2.6515054725109843,False
-fmerge-all-constants,sections,runtime,60,-0.00030301238224265037,2.927187816722876,-0.06624179900115434,5.707749402562734,False
-funsafe-math-optimizations,fast_math,runtime,25,-0.0007752973517765596,0.41303846117677345,-4.720966543562167,5.072202810461146,False
-fapprox-func,fast_math,runtime,24,8.900553366207652e-05,-3.766132534466593,-9.325325324620358,1.561574373927721,False
-freciprocal-math,fast_math,runtime,18,-0.0002777462871368893,0.7167886171597582,-4.71235545389831,5.800259091519333,False
-fno-signed-zeros,fast_math,runtime,24,-0.004569152825242497,0.015287649357964561,-4.891217418020299,4.809462081313076,False
-ffp-contract=fast,fast_math,runtime,19,-0.0008219044116974724,-0.37150914776302724,-6.1932130098868,4.754172001862611,False
-ffp-contract=off,fast_math,runtime,23,-0.0003699682685638946,0.8685422361232487,-4.078712694048637,5.419276827433128,False
-fstrict-aliasing,strict,runtime,21,-8.09458221744023e-05,2.387553297690892,-2.4733175666795004,6.694607252104268,False
-fno-strict-aliasing,strict,runtime,18,0.0010156870110941151,3.944146190690345,-0.25628351978717046,7.195808956307226,False
-fstrict-enums,strict,runtime,22,-0.0008404314653839833,-2.2859326585430773,-7.6577780586490345,2.8288150695916725,False
-fstrict-vtable-pointers,strict,runtime,17,-0.00045267766218151753,-1.5365534160207805,-7.446620138628369,4.178578918834597,False
-fno-delete-null-pointer-checks,strict,runtime,14,0.0032405669071238615,-2.6981064864274873,-9.631769056483275,4.279752500444678,False
-fomit-frame-pointer,strict,runtime,28,5.979840452067579e-07,0.8189829985409958,-3.483424707750049,4.952933832525552,False
-fno-omit-frame-pointer,strict,runtime,24,-7.612108225416062e-05,-2.616950209314639,-7.832428292157967,2.514377529052836,False
-fwhole-program-vtables,whole_prog,runtime,14,0.0003346765491451187,-6.756446898224377,-12.937980315177889,-0.368093750555587,True
-fvirtual-function-elimination,whole_prog,runtime,13,-0.0024591147841248155,-9.141865963524099,-16.000020325577914,-1.5345414520857803,True
-funique-basic-block-section-names,whole_prog,runtime,46,0.0010560173491482674,0.8743493746887099,-2.6447417934583384,4.2191245245349895,False
-fstack-protector,stack_prot,runtime,39,-2.3809118822839523e-05,0.3762611497857282,-3.2376578833628322,3.9574164350838714,False
-fstack-protector-strong,stack_prot,runtime,38,-0.001098273019334325,-0.10067243673471671,-3.894483792663339,3.620971315239929,False
-fstack-protector-all,stack_prot,runtime,34,0.0024449769760141018,1.165548295513541,-3.5488354975511505,5.354084098967782,False
-fstack-clash-protection,stack_prot,runtime,38,-0.0008861948247750951,-2.865086202881717,-6.985178269470538,1.3662823096876942,False
